PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
f4b52308,Diogo Gonçalves,pt POR,MF,27,2,2,122,1.4,1,0,1,0,1,1,0,0,0.74,0.00,0.74,0.00,0.00,Matches,UEFA Conference League,2024-2025
c8829a58,Christian Sørensen,dk DEN,"DF,MF",31,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
cdc35589,Oliver Højer,dk DEN,MF,17,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
8fa8f8d2,Rúnar Alex Rúnarsson,is ISL,GK,29,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
2f15cb71,Hjalte Bidstrup,dk DEN,DF,18,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
213f0daf,Elias Jelert,dk DEN,DF,21,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
e25ef30a,Thomas Jørgensen,dk DEN,MF,18,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
fae98ed9,Hunor Németh,hu HUN,MF,17,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
d8ed3fdf,Jurich Carolina,cw CUW,DF,26,10,10,930,10.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
3a2d6f09,Bart Meijers,nl NED,DF,27,10,10,930,10.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
76395e5f,Sandi Ogrinec,si SVN,"MF,FW",26,10,10,896,10.0,2,0,2,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,UEFA Conference League,2024-2025
919d56c2,Stefan Savic,at AUT,"MF,FW",30,10,10,887,9.9,1,1,2,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,Matches,UEFA Conference League,2024-2025
